,alpha,lambda,kl_divergence,recommendations,time
90,0.31,0.65,1.702672746942214,"[hotel26177, hotel2, hotel14697, hotel23, hotel9505, hotel14, hotel49, hotel11, hotel51, hotel35]",93.36981463432312
91,0.33,0.65,1.702672746942214,"[hotel26177, hotel2, hotel14697, hotel23, hotel9505, hotel14, hotel49, hotel11, hotel51, hotel35]",101.19673109054565
92,0.35,0.65,1.702672746942214,"[hotel26177, hotel2, hotel14697, hotel23, hotel9505, hotel14, hotel49, hotel11, hotel51, hotel35]",97.90031862258911
93,0.37,0.65,1.702672746942214,"[hotel26177, hotel2, hotel14697, hotel23, hotel14, hotel9505, hotel49, hotel11, hotel51, hotel35]",96.77106595039368
94,0.39,0.65,1.702672746942214,"[hotel26177, hotel2, hotel14697, hotel23, hotel14, hotel9505, hotel49, hotel11, hotel51, hotel35]",92.19371056556702
95,0.41,0.65,2.3483954396526183,"[hotel26177, hotel2, hotel23, hotel9505, hotel14, hotel49, hotel11, hotel51, hotel35, hotel40]",91.02176809310913
96,0.43,0.65,2.3483954396526183,"[hotel26177, hotel2, hotel23, hotel9505, hotel14, hotel49, hotel11, hotel51, hotel35, hotel40]",92.69115686416626
97,0.45,0.65,2.3483954396526183,"[hotel26177, hotel2, hotel23, hotel9505, hotel14, hotel49, hotel11, hotel51, hotel35, hotel40]",93.11998295783997
98,0.47,0.65,2.3483954396526183,"[hotel26177, hotel2, hotel23, hotel14, hotel9505, hotel49, hotel11, hotel51, hotel35, hotel40]",92.71286702156067
99,0.49,0.65,2.3483954396526183,"[hotel26177, hotel2, hotel23, hotel14, hotel49, hotel11, hotel51, hotel35, hotel9505, hotel40]",92.36225128173828
100,0.01,0.7,0.20028756808663262,"[hotel122734, hotel177679, hotel3438, hotel119583, hotel2, hotel26177, hotel23, hotel14697, hotel14, hotel9505]",105.33094429969788
101,0.03,0.7,0.20028756808663262,"[hotel122734, hotel177679, hotel3438, hotel26177, hotel2, hotel119583, hotel23, hotel14697, hotel14, hotel9505]",106.06357884407043
102,0.05,0.7,0.4835061561905731,"[hotel122734, hotel177679, hotel3438, hotel26177, hotel2, hotel14697, hotel23, hotel14, hotel9505, hotel49]",106.75267553329468
103,0.07,0.7,0.7560742158856806,"[hotel13206, hotel148622, hotel14697, hotel9505, hotel2, hotel26177, hotel23, hotel14, hotel49, hotel11]",102.01726579666138
104,0.09,0.7,0.7560742158856806,"[hotel13206, hotel148622, hotel14697, hotel9505, hotel2, hotel26177, hotel23, hotel14, hotel49, hotel11]",98.87742900848389
105,0.11,0.7,0.7560742158856806,"[hotel13206, hotel148622, hotel14697, hotel9505, hotel2, hotel26177, hotel23, hotel14, hotel49, hotel11]",98.19972634315491
